"kb_type_name","kb_title","kb_content"
"42997.0","知识列表","68.0"
"42998.0","知识添加","139.0"
"42998.0","词库管理","46.0"
"43000.0","添加标签","14.0"
"43000.0","知识审核","30.0"
"图文知识","知识标题11","这个系列从第一部就有的问题在于，杰克船长是个亦正亦邪又太不正经的人，以至于人物的成长，情感线只能全盘交给配角，那么单靠重复的海上冒险就很容易令人厌倦。新故事新角色都在复刻第一部，找宝藏的线索也很弱，但还好不像4连动作场面的想象力都没了。总的来说适合无脑观众观看，比如我。"
"图文知识","知识标题12","“如果你要勾搭一个妹子，就别被她的姐妹吸引，如果已经被她的姐妹吸引了，就干掉她的兄弟”全片最佳的是杰克和他的断头台的圆周运动啊真是笑死。 还有还有“我是一个钟表学家” “做婊没什么不好意思的…” …… “我到底是你的什么？”巴伯撒的那句“Treasure”真是一个爆哭(；へ：)"
"图文知识","知识标题13","系列最差。本来以为第四部已经够差了，没想到这一部继续刷新下限，系列最短的两小时时长导致的结果就是除去各种卖情怀之外什么都没有，所有的戏都像是在赶进度。如果维宾斯基不回归，这个系列算是完蛋了"
"图文知识","知识标题14","没4那么尬，没2、3那么拖，娱乐性提升。子救父、父救女、Will&Elizabeth10年重逢挺感动，但彩蛋告诉你该系列套路就是把复活的弄死，死了的又弄活，狂打情怀难救缺新意强续集颓势。号称很强的反派废得跟MCU里出来似的。《速5》抢金库遛保险箱，《加5》抢银行直接遛银行，怎么看都像模仿，求别再强拍了！"
"图文知识","知识标题11","这个系列从第一部就有的问题在于，杰克船长是个亦正亦邪又太不正经的人，以至于人物的成长，情感线只能全盘交给配角，那么单靠重复的海上冒险就很容易令人厌倦。新故事新角色都在复刻第一部，找宝藏的线索也很弱，但还好不像4连动作场面的想象力都没了。总的来说适合无脑观众观看，比如我。"
"图文知识","知识标题12","“如果你要勾搭一个妹子，就别被她的姐妹吸引，如果已经被她的姐妹吸引了，就干掉她的兄弟”全片最佳的是杰克和他的断头台的圆周运动啊真是笑死。 还有还有“我是一个钟表学家” “做婊没什么不好意思的…” …… “我到底是你的什么？”巴伯撒的那句“Treasure”真是一个爆哭(；へ：)"
"图文知识","知识标题13","系列最差。本来以为第四部已经够差了，没想到这一部继续刷新下限，系列最短的两小时时长导致的结果就是除去各种卖情怀之外什么都没有，所有的戏都像是在赶进度。如果维宾斯基不回归，这个系列算是完蛋了"
"图文知识","知识标题14","没4那么尬，没2、3那么拖，娱乐性提升。子救父、父救女、Will&Elizabeth10年重逢挺感动，但彩蛋告诉你该系列套路就是把复活的弄死，死了的又弄活，狂打情怀难救缺新意强续集颓势。号称很强的反派废得跟MCU里出来似的。《速5》抢金库遛保险箱，《加5》抢银行直接遛银行，怎么看都像模仿，求别再强拍了！"
"图文知识","bb1","<p>富人</p>"
"图文知识","tml1","<p>富人</p>"
