"index_type","index_txt"
"1","价格"
"2","邮储"
"2","建设银行"
"2","东盟"
"2","币种"
"2","贵司"
"2","土耳其"
"1","加工贸易手册"
"2","家纺"
"2","加答"
"2","参展商"
"2","主办方"
"2","美国纽约礼品展"
"2","停售"
"2","鞋类"
"2","保利世贸博览馆"
"1","单一窗口演示->问答方向->办结时限"
"2","停售"
"2","刘先生"
"2","展会"
"2","机械类题材"
"3","可否"
"2","商品"
"2","玩具"
"2","春季"
"2","商户"
"2","非洲"
"2","德国"
"2","广州"
"2","软体"
"2","长三角"
"2","参展商"
"2","停售"
"2","土耳其"
"2","借金"
"2","琶洲•广交会展馆"
"2","农业银行"
"2","纺织品展"
"2","展会"
"2","展会"
"2","第四十"
"2","德国"
"2","停售"
"1","进出境申报"
"2","天增利"
"2","泰国展"
"2","一百万"
"2","地材"
"2","币种"
"2","停售"
"2","低端"
"2","展会"
"2","预定表"
"2","中国进出口商品交易会"
"2","油炸锅"
"2","展会"
"2","展会"
"2","银行"
"2","第三十四"
"2","展会"
"2","停售"
"2","办公"
"2","币种"
"2","加答"
"1","设定依据"
"2","宝稳添"
"2","商务厅"
"2","拉斯维加斯会议展览中心"
"2","德国纽伦堡国际"
"2","中国"
"2","展会"
"2","中国进出口商品交易会"
"2","汇通"
"1","船舶吨税执照"
"2","展会"
"2","专属"
"2","农业银行"
"2","展会"
"2","汇通"
"2","币种"
"2","中国进出口商品交易会"
"2","停售"
"2","中国"
"2","停售"
"1","进口货物管理"
"2","展会"
"2","德国科隆国际五金博览会"
"2","国际展览中心"
"1","电子支付备案"
"2","展会"
"1","经营单位"
"2","家纺"
"2","陈小姐"
"2","停售"
"2","拉斯维加斯展览中心"
"2","伍子睿"
"2","展会"
"2","刘小姐"
"2","展会"
"1","保税物流中心"
"2","展会"
"2","鞋展"
"2","停售"
"1","办理形式"
"2","户外"
"2","鞋展"
"2","币种"
"2","通卡充"
"2","停售"
"2","中国进出口商品交易会"
"2","预定表"
"2","币种"
"2","土拌"
"2","中贸雅森广州展"
"1","办理流程"
"2","鞋类"
"1","办理结果"
"2","展会"
"2","停售"
"2","保利"
"2","广州"
"2","上海"
"2","转换费"
"2","币种"
"2","享】"
"2","展会"
"2","展览会议中心"
"2","家纺"
"2","展会"
"2","停售"
"2","工业"
"2","展商"
"1","港澳货车和司机备案"
"1","申请材料"
"2","窗口"
"2","源产地"
"2","展会"
"2","广东国际酒类"
"2","币种"
"2","系列"
"2","预期"
"2","巴西"
"2","家纺"
"2","展会"
"2","春季"
"2","翟先生"
"2","家具界"
"2","中国银行"
"2","回头率"
"2","停售"
"2","预期"
"2","家装"
"2","室内"
"2","安年"
"2","优惠活动"
"2","非凡"
"2","互动式"
"2","办公"
"2","荟源"
"2","喜天阙酒店"
"2","宁波"
"2","中国家具业"
"2","睿盈"
"2","币种"
"2","币种"
"2","安年"
"1","备案"
"2","领秀"
"2","展会"
"2","胡先生"
"2","户外"
"2","预定表"
"2","币种"
"2","投资"
"2","互动式"
"2","宝汇添"
"2","停售"
"2","停售"
"2","美国国际五金"
"2","起止"
"2","引领"
"2","泰国"
"2","展会"
"1","B型"
"2","停售"
"2","专享"
"2","第四"
"2","万利宝"
"2","雅森"
"2","南非"
"2","点击"
"2","中国"
"2","美国芝加哥"
"2","可看性"
"2","币种"
"2","汇增"
"2","投资"
"1","承诺"
"1","税款滞纳金"
"2","展会"
"2","陈小姐"
"2","摊铺机"
"2","德国"
"2","家纺"
"2","德国"
"2","美国"
"2","办公"
"2","中国进出口商品交易会"
"2","停售"
"1","征收"
"2","德国"
"1","保护"
"2","币种"
"2","刘先生"
"2","保利世贸博览馆"
"2","第三十四"
"1","办理流程"
"2","点击"
"2","中国"
"2","途虎"
"2","农业银行"
"2","美国纽约礼品展"
"2","持卡人"
"2","停售"
"2","刘先生"
"2","贾维茨会议展览中心"
"2","法兰克福"
"2","中国"
"2","汇通"
"2","币种"
"2","第三"
"2","民用"
"2","家用电器展览会"
"2","巴西"
"2","广州"
"2","中东"
"2","智荟"
"2","美国全国"
"1","进出境申报"
"2","展览中心"
"1","管理"
"2","投资"
"2","币种"
"2","二持"
"2","励展"
"2","上海"
"2","互动式"
"2","第四"
"2","家具界"
"2","新浪"
"2","中国家博会"
"2","拉斯维加斯国际鞋类"
"2","展会"
"2","采购"
"2","展会"
"2","特惠"
"2","泰国展"
"2","中国进出口商品交易会"
"2","展会"
"2","约翰内斯堡会议中心"
"2","中银"
"1","备案"
"2","家纺"
"4","底层数据知识管理平台"
"2","展览中心"
"2","第三十四"
"2","户外"
"2","世界鞋业界"
"2","展会"
"2","轮袖"
"1","办理结果"
"2","展会"
"1","办理地点"
"2","家纺"
"2","展会"
"2","管理"
"2","币种"
"2","展会"
"1","先征后返"
"2","展会"
"2","国家会展中心•上海虹桥"
"2","户外"
"2","币种"
"2","黄先生"
"2","展览会议中心"
"2","招商银行"
"2","双年"
"2","展会"
"2","中国进出口商品交易会"
"2","环球"
"2","地材"
"1","A型"
"2","新浪"
"2","农业银行"
"1","减免税"
"1","货物管理"
"2","轻工业品"
"2","中国进出口商品交易会"
"2","克洛库斯国际展览中心"
"2","陈小姐"
"2","陈小姐"
"2","专属"
"2","币种"
"2","迈阿密"
"1","优先查验"
"2","当之无愧为"
"2","亚特兰大乔治亚会议中心"
"2","黄先生"
"2","加答"
"2","伍子睿"
"2","停售"
"2","回头率"
"1","单一窗口演示->常见业务办理->运输工具->其他飞行器"
"2","参展商"
"2","美国芝加哥"
"2","家纺"
"2","汇增"
"2","展会"
"2","银行"
"2","币种"
"2","广州建博会"
"2","展会"
"1","滞报金征收"
"2","采购"
"2","秋季"
"2","投资"
"2","投资"
"2","展会"
"2","圣保罗国际文具"
"2","陈小姐"
"2","引领"
"2","超值"
"2","展会"
"2","展会"
"2","抽离"
"1","申办"
"2","中国进出口商品交易会"
"2","停售"
"1","进出口货物收发货人"
"2","增盈"
"2","中国"
"1","签发"
"2","币种"
"2","俄罗斯国际鞋类"
"1","实施机构"
"2","第三十一"
"2","稳固"
"2","参展商"
"2","展会"
"2","中国建博会"
"2","持卡人"
"2","币种"
"2","稳健"
"2","展会"
"1","横琴新区"
"2","中国进出口商品交易会"
"2","广州建博会"
"2","科隆"
"2","停售"
"2","参展者"
"1","电子支付备案"
"2","第四"
"1","进出境运输工具"
"2","停售"
"1","免税商店"
"2","法兰克福"
"2","科隆"
"2","预期"
"2","展会"
"2","拉斯维加斯展览中心"
"2","土耳其"
"2","增盈"
"2","中国进出口商品交易会"
"2","同馆"
"2","单年"
"2","参展商"
"2","郭先生"
"2","交通银行"
"2","广州"
"2","非凡"
"2","第三十四"
"2","停售"
"2","家用电器"
"2","第四十一"
"2","陈小姐"
"2","当之无愧为"
"2","民生"
"2","智荟"
"2","回头率"
"2","参展商"
"2","科隆"
"2","第四"
"2","展会"
"4","运抵信息"
"2","中国进出口商品交易会"
"2","第三十一"
"2","展会"
"2","广州"
"2","户外"
"1","货运车辆"
"1","保护"
"2","华南国际印刷工业展览会"
"2","增盈"
"2","停售"
"2","参展商"
"2","中国家博会"
"2","停售"
"2","招商银行"
"2","圣诞"
"2","陈小姐"
"2","圣保罗国际文具"
"2","当期"
"2","展会"
"2","停售"
"2","增盈"
"2","中银"
"2","币种"
"2","贾维茨会议展览中心"
"2","银行"
"2","展会"
"2","每周五"
"2","展会"
"2","展馆"
"2","克洛库斯国际展览中心"
"2","第五"
"2","停售"
"2","中国银行"
"2","圣诞"
"2","上海"
"2","银行"
"2","展会"
"1","进出境申报"
"2","必经之路"
"2","圣诞"
"2","币种"
"2","德国纽伦堡国际"
"2","展会"
"1","电子账册"
"2","贸易"
"2","第五"
"2","广州家具展"
"2","展览中心"
"2","展会"
"2","环球"
"2","币种"
"2","展会"
"2","展览中心"
"2","中国"
"2","汇通"
"2","美国"
"2","组展"
"2","对接会"
"1","撤销"
"2","展览中心"
"2","秋季"
"2","展会"
"1","保税仓库"
"2","银泰"
"2","广州国际水展"
"2","中国建博会"
"2","停售"
"2","展会"
"2","博会"
"2","币种"
"2","持卡人"
"2","迈考密展览中心"
"2","币种"
"1","办理流程"
"2","拉斯维加斯展览中心"
"1","设定依据"
"2","户外"
"2","礼品展"
"2","美国全国"
"2","保利世贸博览馆"
"2","工业"
"2","中银"
"2","上海"
"2","土耳其"
"2","圣诞"
"2","万利宝"
"2","中国进出口商品交易会"
"2","引领"
"2","展会"
"2","当之无愧为"
"2","法兰克福会展中心"
"2","业界"
"1","办理时间"
"2","预定表"
"2","停售"
"2","展会"
"2","停售"
"2","办公"
"2","美国芝加哥"
"2","中国"
"2","展会"
"2","预期"
"2","中国"
"2","源产地"
"2","家用"
"2","币种"
"1","船舶吨税"
"2","展会"
"2","停售"
"2","安心"
"2","合站"
"2","拉斯维加斯国际鞋类"
"2","科隆"
"2","国家会展中心•上海虹桥"
"2","合站"
"2","币种"
"2","停售"
"2","琶洲"
"2","加答"
"2","停售"
"2","地材"
"2","停售"
"1","申请材料"
"2","优惠活动"
"2","展览会议中心"
"2","周二"
"2","广州"
"2","克洛库斯国际展览中心"
"2","贸易商"
"2","国际纸制品"
"2","法兰克福"
"2","盈工银量化"
"2","古典"
"2","刘小姐"
"2","测试"
"2","参展商"
"2","中国进出口商品交易会"
"2","工行北京"
"2","停售"
"2","参展商"
"2","展会"
"1","ATA单证册等暂时进出境货物"
"2","展会"
"2","圣保罗环球"
"2","采购商"
"2","巴西国际建材五金"
"2","展会"
"2","参见表"
"2","展会"
"2","币种"
"2","展会"
"2","梁德晖"
"2","悦享"
"2","安全"
"2","参展商"
"2","投资"
"2","币种"
"1","进口环节代征税"
"2","第二十"
"2","短信"
"2","方格拉费特"
"2","停售"
"2","展会"
"2","产品名称"
"2","建设银行"
"2","币种"
"2","第七"
"1","承诺"
"2","红宝石展览中心"
"2","展会"
"2","秋季"
"2","停售"
"2","互动式"
"2","停售"
"2","安全"
"2","双年"
"2","南兴"
"2","中国"
"2","采购商"
"2","德国"
"2","展会"
"2","合站"
"2","预期"
"2","七千五百万"
"2","参展商"
"1","通办范围"
"2","地材"
"2","增盈"
"2","第三十九"
"2","引领"
"2","约翰内斯堡"
"2","参展商"
"2","土拌"
"2","户外"
"2","家用电器展览会"
"2","世界鞋业界"
"2","红宝石展览中心"
"2","励展"
"2","加达"
"2","展会"
"2","中国"
"2","享好"
"2","参展者"
"2","广交会展馆"
"2","停售"
"2","迈考密展览中心"
"2","币种"
"2","投资"
"2","超值"
"1","单一窗口演示->相关描述->法定"
"2","美国国际文教"
"2","地材"
"2","礼品展"
"2","汇通"
"1","办理结果"
"2","预期"
"2","第五"
"2","梁德晖"
"1","撤销"
"2","梁德晖"
"2","展商"
"2","华南国际印刷工业展览会"
"2","主办方"
"2","展会"
"2","中国"
"2","增盈"
"2","起止"
"1","关税"
"2","产品名称"
"1","保税仓库集中报关资格"
"2","活动"
"2","展会"
"2","第六"
"2","玩具"
"2","陈小姐"
"2","最快"
"2","第四"
"2","展会"
"2","预期"
"2","展会"
"1","设定依据"
"2","软体"
"2","新浪"
"2","展览业"
"2","韩国"
"2","家用电器展览会"
"2","家装"
"2","低端"
"2","卢星先生"
"2","法兰克福会展中心"
"2","停售"
"2","币种"
"2","建设银行"
"2","建设银行"
"2","售后服务展览会"
"2","币种"
"2","加答"
"2","家纺"
"2","停售"
"2","德国"
"2","家纺"
"4","打印"
"2","招商银行"
"2","软包"
"2","停售"
"2","广州国际工业自动化"
"2","华南国际印刷工业展览会"
"2","第三"
"2","刘小姐"
"2","第十四"
"2","纽伦堡会展中心"
"2","德国"
"2","点击"
"2","中国建博会"
"2","点击"
"2","银行"
"2","稳健"
"2","引领"
"2","停售"
"2","预览"
"2","加答国际鞋展"
"2","中国进出口商品交易会"
"2","展函"
"2","展会"
"2","地材"
"2","停售"
"2","广州"
"2","币种"
"2","工商"
"2","巴西国际建材五金"
"2","办公"
"2","币种"
"2","起止"
"2","拉斯维加斯"
"2","当之无愧为"
"2","提供商"
"2","家装"
"2","万利宝"
"1","保税仓库"
"2","展会"
"2","币种"
"2","科隆"
"2","点击"
"1","承诺"
"2","法兰克福"
"2","展会"
"1","行政裁定"
"2","展展"
"2","展会"
"2","韩元代"
"2","黄先生"
"2","本型"
"2","家用电器展览会"
"2","拉斯维加斯国际鞋类"
"2","展会"
"1","提前放行"
"2","展会"
"2","同类产品"
"1","续展"
"2","展会"
"2","经营性"
"2","三十六"
"2","刷卡"
"2","商机"
"2","展会"
"1","提前放行"
"2","参展商"
"2","珠联璧合"
"2","中国进出口商品交易会"
"2","展会"
"2","摊铺机"
"2","双年"
"2","盈工"
"1","进出境申报"
"2","德国"
"2","银行"
"2","广州"
"2","停售"
"2","停售"
"2","心喜"
"2","第七"
"2","采购商"
"2","展会"
"2","宝沃"
"2","点击"
"2","金葵花"
"2","展函"
"2","陈小姐"
"2","中国进出口商品交易会"
"2","鞋展"
"2","对接会"
"2","展会"
"2","展会"
"2","户外"
"2","展会"
"1","平潭综合试验区"
"2","广州国际水展"
"2","车盈"
"2","德国"
"2","时尚化"
"2","保利世贸博览馆"
"2","最快"
"2","刘先生"
"2","欧亚大陆"
"2","投资"
"2","德国纽伦堡国际"
"2","德国"
"2","展会"
"2","家纺"
"2","展会"
"2","商用"
"2","展览会"
"2","心喜"
"2","黄先生"
"2","包邮"
"2","投资"
"2","光大"
"2","中国"
"2","保利世贸博览馆"
"2","春季"
"2","币种"
"2","广州国际工业自动化"
"2","合站"
"2","停售"
"2","拉斯维加斯会议展览中心"
"2","展会"
"2","土耳其"
"2","美国国际五金"
"2","参展商"
"2","第三"
"2","本型"
"2","约翰内斯堡会议中心"
"2","展会"
"2","秋季"
"1","咨询电话"
"2","迈考密展览中心"
"2","世界鞋业界"
"2","非洲"
"2","展会"
"2","展会"
"2","停售"
"2","合站"
"2","充值"
"2","整木"
"2","第十九"
"2","陈小姐"
"1","设定依据"
"1","法定"
"2","周二"
"2","投资"
"1","保税物流中心"
"2","加答"
"2","参展者"
"2","中国进出口商品交易会"
"2","非洲"
"2","展会"
"2","展会"
"2","商机"
"2","参展商"
"2","鞋展"
"2","圣保罗国际"
"2","圣诞"
"2","土拌"
"2","中国银行"
"2","商品"
"2","币种"
"2","展函"
"2","合作商"
"2","第二十一"
"2","中银"
"2","拉斯维加斯展览中心"
"2","上海"
"2","文具展"
"2","停售"
"2","新浪"
"2","非凡"
"2","刘先生"
"2","商务厅"
"2","币种"
"2","泰国"
"2","展览中心"
"2","美国"
"2","展览中心"
"2","法兰克福会展中心"
"1","通办范围"
"2","移门"
"2","加达"
"1","对高层次留学人才回国和海外科技专家来华工作进出境物品业务"
"2","专属"
"2","拉斯维加斯会议展览中心"
"2","互动式"
"2","参展商"
"2","展会"
"2","中国进出口商品交易会"
"2","银联"
"2","华夏银行"
"2","惠添利"
"2","德国文具展"
"2","展会"
"2","戚锦照"
"2","华夏银行"
"1","保税仓库集中报关资格"
"2","展商"
"1","监督电话"
"2","展会"
"2","秋季"
"2","世界鞋业界"
"2","德国科隆亚太五金"
"2","合站"
"2","第三十六"
"2","每位"
"2","兴业银行"
"2","加答国际鞋展"
"2","一站式"
"1","出口监管仓库"
"2","贵司"
"2","中国进出口商品交易会"
"2","本型"
"2","展商"
"2","安全"
"2","源田"
"2","琶洲•广交会展馆"
"2","速机"
"2","迈考密展览中心"
"2","币种"
"2","币种"
"2","整木"
"2","币种"
"1","保税港区"
"2","家纺"
"2","美国"
"2","展会"
"2","银联"
"1","法定"
"2","中国进出口商品交易会"
"2","投资"
"2","珠三角"
"2","贸易国"
"2","地材"
"2","加答国际鞋展"
"1","业务类型"
"2","巴西国际建材五金"
"2","中国银行"
"2","拉斯维加斯展览中心"
"2","迈考密展览中心"
"2","参展商"
"2","美国全国"
"2","中国建博会"
"2","停售"
"2","中国"
"2","停售"
"2","币种"
"2","油炸锅"
"2","家纺"
"2","梁德晖"
"2","稳富"
"2","展商"
"2","非凡"
"2","展商"
"2","停售"
"2","陈小姐"
"2","美国"
"1","税款滞纳金"
"2","浮动"
"2","展商"
"1","管道运输能源"
"2","家装"
"2","土耳其"
"2","华南国际印刷工业展览会"
"2","软体"
"2","广州国际水展"
"2","安存宝"
"2","中国家博会"
"2","展会"
"2","纽伦堡会展中心"
"2","币种"
"2","法兰克福"
"2","主办方"
"2","刘小姐"
"2","中国建博会"
"2","币种"
"2","成长值"
"2","展会"
"2","币种"
"2","投资"
"2","汇通"
"2","拉斯维加斯会议展览中心"
"2","展会"
"2","停售"
"2","琶洲"
"2","预期"
"2","上海虹桥家具展"
"2","新浪"
"2","增盈"
"2","展会"
"2","展会"
"2","财工"
"2","展会"
"2","中国建博会"
"1","直接退运"
"2","元私"
"2","迈阿密"
"2","参展商"
"2","克洛库斯国际展览中心"
"2","交通银行"
"2","加答"
"1","行政裁定"
"2","美国全国"
"2","贸易国"
"1","保护"
"2","引领"
"1","对高层次留学人才回国和海外科技专家来华工作进出境物品业务"
"2","中国"
"2","拉斯维加斯国际鞋类"
"2","展览中心"
"2","专属"
"2","自动化"
"2","拉斯维加斯消费品"
"2","第三十六"
"2","中国"
"2","上海分行"
"2","展览会议中心"
"2","展商"
"2","中国进出口商品交易会"
"2","展会"
"2","第三十九"
"2","系列"
"2","进件"
"2","展会"
"2","币种"
"2","源田"
"2","币种"
"2","美国全国"
"2","兴业银行"
"1","单一窗口演示->常见操作->进出境申报"
"2","展会"
"2","中国"
"2","迈考密展览中心"
"2","元添福"
"2","投资"
"2","中国进出口商品交易会"
"2","广州国际工业自动化"
"2","展会"
"2","第三十六"
"2","四月份"
"1","企业"
"2","展会"
"1","办结时限"
"2","上海"
"1","保税物流中心"
"2","中国进出口商品交易会"
"1","提前放行"
"1","空运舱单"
"2","币种"
"2","纺织品展"
"1","手续"
"2","展会"
"2","天增利"
"2","单年"
"2","展商"
"2","油炸锅"
"2","展会"
"2","美国芝加哥"
"2","停售"
"2","宝汇添"
"2","买单"
"2","参展商"
"2","币种"
"2","提供商"
"2","农业银行"
"2","法兰克福"
"2","天天"
"1","办理结果"
"1","货物管理"
"2","商机"
"2","中国银行"
"2","加达"
"2","立减"
"2","展会"
"1","管理"
"2","第七"
"2","郭先生"
"1","关税"
"2","首页"
"2","梁德晖"
"2","拉斯维加斯会议展览中心"
