"index_type","index_txt"
"2","万利宝人民币"
"2","兴业银行"
"2","理财产品"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","天天"
"2","兴业银行"
"2","万利宝"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","天天"
"2","珠联璧合"
"2","双月盈"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","投资"
"2","京品"
"2","交通银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","私银"
"2","汇通"
"2","惠添利"
"2","专属"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","高净值"
"2","享金"
"2","招商银行"
"2","北京分行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","民生银行"
"2","高端"
"2","非凡"
"2","天增利"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","交通银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","汇通"
"2","惠添利"
"2","专属"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","银添利迎新"
"2","交通银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","交通银行"
"2","德添利"
"2","宝沃"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","溢江南非保本型"
"2","建设银行"
"2","元鑫"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","汇增"
"2","中国银行"
"2","中银"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","元丝"
"2","建设银行"
"2","同类产品"
"2","产品名称"
"2","乾元"
"2","币种"
"2","民生银行"
"2","理财产品"
"2","非凡"
"2","同类产品"
"2","产品名称"
"2","周三"
"2","币种"
"2","中国银行"
"2","中银"
"2","基智"
"2","同类产品"
"2","产品名称"
"2","智通"
"2","币种"
"2","系列"
"2","工商银行"
"2","专属"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","心喜"
"2","北京银行"
"2","理财产品"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","交通银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","中国银行"
"2","中银"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","专享"
"2","农业银行"
"2","金钥匙"
"2","安心"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","光大银行"
"2","安存宝"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","光大银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","光大银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","管理"
"2","投资"
"2","产品"
"2","预期"
"2","光大银行"
"2","安存宝"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","中国银行"
"2","中银"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","元丝"
"2","建设银行"
"2","期特"
"2","同类产品"
"2","产品名称"
"2","乾元"
"2","币种"
"2","心喜"
"2","北京银行"
"2","理财产品"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","交通银行"
"2","银添利"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","华夏银行"
"2","增盈"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","建设银行"
"2","通宝"
"2","乾元"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","高净值"
"2","享金"
"2","招商银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","交通银行"
"2","宝稳添"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","民生银行"
"2","高端"
"2","非凡"
"2","天增利"
"2","专属"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","兴业银行"
"2","万利宝"
"2","专属"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","民生银行"
"2","理财产品"
"2","非凡"
"2","同类产品"
"2","产品名称"
"2","周五"
"2","币种"
"2","兴业银行"
"2","专属"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","交通银行"
"2","银添利"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","心喜"
"2","北京银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","京品"
"2","交通银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","招商银行"
"2","武汉分行"
"2","金葵花"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","智荟"
"2","中国银行"
"2","中银"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","中国银行"
"2","中银"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","农业银行"
"2","金钥匙"
"2","利丰"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","交通银行"
"2","德添利"
"2","宝沃"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","京品"
"2","交通银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","农业银行"
"2","金钥匙"
"2","利丰"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","岁岁"
"2","添财"
"2","工商银行"
"2","专属"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","心喜"
"2","北京银行"
"2","理财产品"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","本型"
"2","盈保"
"2","华夏银行"
"2","同类产品"
"2","产品名称"
"2","增盈"
"2","币种"
"2","招商银行"
"2","无锡分行"
"2","金葵花"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","兴业银行"
"2","万利宝"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","天天"
"2","元丝"
"2","建设银行"
"2","期特"
"2","同类产品"
"2","产品名称"
"2","乾元"
"2","币种"
"2","中国银行"
"2","中银"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","民生银行"
"2","理财产品"
"2","非凡"
"2","同类产品"
"2","产品名称"
"2","周五"
"2","币种"
"2","农业银行"
"2","金钥匙"
"2","利丰"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","心喜"
"2","北京银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","农业银行"
"2","金钥匙"
"2","安心"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","专享"
"2","私行"
"2","新晋"
"2","珠联璧合"
"2","双季鑫"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","投资"
"2","元养颐三秦保本型"
"2","建设银行"
"2","同类产品"
"2","产品名称"
"2","乾元"
"2","币种"
"2","交通银行"
"2","宝汇添"
"2","同类产品"
"2","产品名称"
"2","美元"
"2","币种"
"2","招商银行"
"2","南宁分行"
"2","金葵花"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","中信银行"
"2","惠益"
"2","稳健"
"2","同类产品"
"2","中信"
"2","产品名称"
"2","币种"
"2","系列"
"2","稳利"
"2","浦发银行"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","稳利"
"2","浦发银行"
"2","期汇"
"2","同类产品"
"2","产品名称"
"2","币种"
"2","系列"
"2","民生银行"
"2","理财产品"
"2","高端"
