"quest_type","quest_desc"
"1","进出口货物种类"
"2","进出口商品"
"2","外贸分类"
"2","2"
"1","1"
"2","2"
"1","1"
"2","2"
"1","1"
"2","1"
"1","1"
"2","1"
"1","1"
"2","t"
"1","t"
"2","3"
"1","3"
"2","are you boy or girl"
"1","who are you"
"2","b11"
"1","a11558"
"2","c11"
"2","b"
"2","c"
"1","a"
"1","法轮功"
"1","法轮功"
"2","tt3"
"2","tt4"
"2","tt60"
"2","1"
"1","1888"
"2","22"
"1","22"
"2","88t"
"1","88666y"
"2","3"
"1","3"
"2","sad阿萨德啊的"
"1","加班打不好得八十多"
"1","这是一个测试的标准问题"
"2","这是一个测试的相似问题"
"2","天气问题"
"1","天气问题"
"2","h"
"1","h"
"1","知识标题11"
"2","进出口货物种类"
"2","进出口商品"
"1","知识标题12"
"2","外贸分类"
"2","水电费"
"1","知识标题13"
"2","外贸分类"
"2","显示问题"
"1","知识标题14"
"2","外贸分类"
"2","显示问题"
"1","知识标题14"
"2","外贸分类"
"2","显示问题"
"2","这是一个银行的测试知识"
"1","微信银行绑定银行卡需要填写什么表格"
"2","r"
"1","r"
"2","哈喽"
"1","你好"
"2","你叫啥"
"1","你叫什么名字"
"2","你叫什么"
"2","你介绍一下自己吧"
"1","请自我介绍一下吧"
"2","你有什么喜好"
"1","你有什么爱好"
"2","你喜欢什么"
"2","开户需要准备什么资料"
"1","开户需要准备什么资料"
"2","中共十九大"
"1","中共十九大"
"2","客户信息更改能否他人代办？"
"1","客户信息更改是否需要本人办理？"
"1","测试知识问题2"
"2","在哪里可以打印交易流水？"
"1","打印交易流水功能在哪里可以办理？"
"1","标准问题"
"2","相似问题"
"2","VISA/MasterCard卡没磁了怎么办？"
"1","带有VISA/MasterCard标志的卡片能否重新写磁？"
"2","到期换卡收费吗？"
"1","到期换卡是否免费？"
"2","信用卡透支了怎么办"
"1","信用卡刷爆了怎么办"
"2","在哪里重置网上支付密码？"
"1","网上支付密码重置在哪里可以办理？"
"2","tml36"
"1","tml65"
"2","ATM取现每日最高额度是多少？"
"1","ATM取现每日限额是多少？"
"2","零存整取在哪开户？"
"1","零存整取开户在哪里可以办理？"
"1","ddd"
"2","www"
"1","33"
"2","333"
"1","11"
"1","11155555"
"2","22"
"1","11"
"2","2"
"1","1111"
"2","222"
"1","333"
"1","666666666666666666666666"
"1","jdfdsjfds"
"2","11"
"1","niaho"
"1","q"
"2","阿虎电话的外呼的我"
"2","销售计划如何"
"2","这是一个相似的场景问题"
"1","知识标题11"
"2","进出口货物种类"
"2","进出口商品"
"1","知识标题12"
"2","外贸分类"
"2","水电费"
"1","知识标题13"
"2","外贸分类"
"2","显示问题"
"1","知识标题14"
"2","外贸分类"
"2","显示问题"
"1","bb1"
"1","tml1"
"1","cs"
"1","rretw"
"1","自我介绍"
"1","请自我介绍一下吧"
"2","你介绍一下自己吧"
"1","你叫什么名字"
"2","你叫啥"
"2"," 你叫什么"
"1","你有什么爱好"
"2","你喜欢什么"
"2","你有什么喜好 "
"1","“单一窗口”标准版与地方版有什么区别?"
"1","如何注册“单一窗口”标准版账号?"
"1","知识测试"
"1","申报有什么录入要求?"
"1","关于IC卡/key的使用要求"
"1","你有什么爱好"
"2","你有什么爱好,你喜欢什么,你有什么喜好"
"1","你叫什么名字"
